Task,Category,Priority,Due Date,Notes
"Read John 21:15-25 (Nov 29)","Bible Reading","normal","2025-11-29","Day 275 of reading plan"
"Read Matthew 28:16-20 (Nov 30)","Bible Reading","normal","2025-11-30","Day 276 of reading plan"
"Read Luke 24:44-53 (Dec 1)","Bible Reading","normal","2025-12-01","Day 277 of reading plan"
"Read Acts 1:1-11 (Dec 2)","Bible Reading","normal","2025-12-02","Day 278 of reading plan"
"Read Acts 1:12-26 (Dec 3)","Bible Reading","normal","2025-12-03","Day 279 of reading plan"
"Read Acts 2:1-13 (Dec 4)","Bible Reading","normal","2025-12-04","Day 280 of reading plan"
"Read Acts 2:14-40 (Dec 5)","Bible Reading","normal","2025-12-05","Day 281 of reading plan"
"Read Acts 2:41-3:11 (Dec 6)","Bible Reading","normal","2025-12-06","Day 282 of reading plan"
"Read Acts 3:12-4:4 (Dec 7)","Bible Reading","normal","2025-12-07","Day 283 of reading plan"
"Read Acts 4:5-22 (Dec 8)","Bible Reading","normal","2025-12-08","Day 284 of reading plan"
"Read Acts 4:23-37 (Dec 9)","Bible Reading","normal","2025-12-09","Day 285 of reading plan"
"Read Acts 5:1-16 (Dec 10)","Bible Reading","normal","2025-12-10","Day 286 of reading plan"
"Read Acts 5:17-42 (Dec 11)","Bible Reading","normal","2025-12-11","Day 287 of reading plan"
"Read Acts 6:1-15 (Dec 12)","Bible Reading","normal","2025-12-12","Day 288 of reading plan"
"Read Acts 7:1-29 (Dec 13)","Bible Reading","normal","2025-12-13","Day 289 of reading plan"
"Read Acts 7:30-60 (Dec 14)","Bible Reading","normal","2025-12-14","Day 290 of reading plan"
"Read Acts 8:1-25 (Dec 15)","Bible Reading","normal","2025-12-15","Day 291 of reading plan"
"Read Acts 8:26-40 (Dec 16)","Bible Reading","normal","2025-12-16","Day 292 of reading plan"
"Read Acts 9:1-19 (Dec 17)","Bible Reading","normal","2025-12-17","Day 293 of reading plan"
"Read Acts 9:20-31 (Dec 18)","Bible Reading","normal","2025-12-18","Day 294 of reading plan"
"Read Acts 9:32-42 (Dec 19)","Bible Reading","normal","2025-12-19","Day 295 of reading plan"
"Read Acts 10:1-23 (Dec 20)","Bible Reading","normal","2025-12-20","Day 296 of reading plan"
"Read Acts 10:24-48 (Dec 21)","Bible Reading","normal","2025-12-21","Day 297 of reading plan"
"Read Acts 11:1-18 (Dec 22)","Bible Reading","normal","2025-12-22","Day 298 of reading plan"
"Read Acts 11:19-29 (Dec 23)","Bible Reading","normal","2025-12-23","Day 299 of reading plan"
"Read Acts 12:1-25 (Dec 24)","Bible Reading","normal","2025-12-24","Day 300 of reading plan"
"Read Acts 13:1-12 (Dec 25)","Bible Reading","normal","2025-12-25","Day 301 of reading plan"
"Read Acts 14:1-28 (Dec 26)","Bible Reading","normal","2025-12-26","Day 302 of reading plan"
"Read Acts 15:1-21 (Dec 27)","Bible Reading","normal","2025-12-27","Day 303 of reading plan"
"Read Acts 15:22-41 (Dec 28)","Bible Reading","normal","2025-12-28","Day 304 of reading plan"
"Read Acts 16:1-15 (Dec 29)","Bible Reading","normal","2025-12-29","Day 305 of reading plan"
"Read Acts 16:16-40 (Dec 30)","Bible Reading","normal","2025-12-30","Day 306 of reading plan"
"Read Acts 17:1-15 (Dec 31)","Bible Reading","normal","2025-12-31","Day 307 of reading plan"
"Read Acts 17:16-34 (Jan 1)","Bible Reading","normal","2026-01-01","Day 308 of reading plan"
"Read Acts 19:1-20 (Jan 2)","Bible Reading","normal","2026-01-02","Day 309 of reading plan"
"Read Acts 19:21-41 (Jan 3)","Bible Reading","normal","2026-01-03","Day 310 of reading plan"
"Read Acts 20:1-12 (Jan 4)","Bible Reading","normal","2026-01-04","Day 311 of reading plan"
"Read Acts 20:13-38 (Jan 5)","Bible Reading","normal","2026-01-05","Day 312 of reading plan"
"Read Acts 21:1-17 (Jan 6)","Bible Reading","normal","2026-01-06","Day 313 of reading plan"
"Read Acts 21:18-36 (Jan 7)","Bible Reading","normal","2026-01-07","Day 314 of reading plan"
"Read Acts 21:37-22:29 (Jan 8)","Bible Reading","normal","2026-01-08","Day 315 of reading plan"
"Read Acts 20:30-23:22 (Jan 9)","Bible Reading","normal","2026-01-09","Day 316 of reading plan"
"Read Acts 23:23-24:27 (Jan 10)","Bible Reading","normal","2026-01-10","Day 317 of reading plan"
"Read Acts 25:1-27 (Jan 11)","Bible Reading","normal","2026-01-11","Day 318 of reading plan"
"Read Acts 26:1-32 (Jan 12)","Bible Reading","normal","2026-01-12","Day 319 of reading plan"
"Read Acts 27:1-26 (Jan 13)","Bible Reading","normal","2026-01-13","Day 320 of reading plan"
"Read Acts 27:27-44 (Jan 14)","Bible Reading","normal","2026-01-14","Day 321 of reading plan"
"Read Acts 28:1-14 (Jan 15)","Bible Reading","normal","2026-01-15","Day 322 of reading plan"
"Read Acts 28:15-31 (Jan 16)","Bible Reading","normal","2026-01-16","Day 323 of reading plan"
"Read Romans 5:1-11 (Jan 17)","Bible Reading","normal","2026-01-17","Day 324 of reading plan"
"Read Romans 8:1-18 (Jan 18)","Bible Reading","normal","2026-01-18","Day 325 of reading plan"
"Read Romans 8:19-39 (Jan 19)","Bible Reading","normal","2026-01-19","Day 326 of reading plan"
"Read Romans 12:1-21 (Jan 20)","Bible Reading","normal","2026-01-20","Day 327 of reading plan"
"Read 1 Corinthians 13:1-13 (Jan 21)","Bible Reading","normal","2026-01-21","Day 328 of reading plan"
"Read 1 Corinthians 15:1-20 (Jan 22)","Bible Reading","normal","2026-01-22","Day 329 of reading plan"
"Read 1 Corinthians 15:42-58 (Jan 23)","Bible Reading","normal","2026-01-23","Day 330 of reading plan"
"Read 2 Corinthians 4:1-18 (Jan 24)","Bible Reading","normal","2026-01-24","Day 331 of reading plan"
"Read Galatians 5:13-26 (Jan 25)","Bible Reading","normal","2026-01-25","Day 332 of reading plan"
"Read Ephesians 1:3-23 (Jan 26)","Bible Reading","normal","2026-01-26","Day 333 of reading plan"
"Read Ephesians 2:1-22 (Jan 27)","Bible Reading","normal","2026-01-27","Day 334 of reading plan"
"Read Ephesians 4:1-16 (Jan 28)","Bible Reading","normal","2026-01-28","Day 335 of reading plan"
"Read Ephesians 6:10-20 (Jan 29)","Bible Reading","normal","2026-01-29","Day 336 of reading plan"
"Read Philippians 2:1-18 (Jan 30)","Bible Reading","normal","2026-01-30","Day 337 of reading plan"
"Read Philippians 3:1-21 (Jan 31)","Bible Reading","normal","2026-01-31","Day 338 of reading plan"
"Read Colossians 2:1-15 (Feb 1)","Bible Reading","normal","2026-02-01","Day 339 of reading plan"
"Read Colossians 3:1-17 (Feb 2)","Bible Reading","normal","2026-02-02","Day 340 of reading plan"
"Read 1 Thessalonians 1:1-10 (Feb 3)","Bible Reading","normal","2026-02-03","Day 341 of reading plan"
"Read 1 Thessalonians 4:1-18 (Feb 4)","Bible Reading","normal","2026-02-04","Day 342 of reading plan"
"Read 2 Thessalonians 1:1-12 (Feb 5)","Bible Reading","normal","2026-02-05","Day 343 of reading plan"
"Read 2 Thessalonians 3:1-18 (Feb 6)","Bible Reading","normal","2026-02-06","Day 344 of reading plan"
"Read 1 Timothy 4:1-16 (Feb 7)","Bible Reading","normal","2026-02-07","Day 345 of reading plan"
"Read 1 Timothy 6:3-21 (Feb 8)","Bible Reading","normal","2026-02-08","Day 346 of reading plan"
"Read 2 Timothy 1:1-18 (Feb 9)","Bible Reading","normal","2026-02-09","Day 347 of reading plan"
"Read 2 Timothy 3:1-17 (Feb 10)","Bible Reading","normal","2026-02-10","Day 348 of reading plan"
"Read Titus 3:1-11 (Feb 11)","Bible Reading","normal","2026-02-11","Day 349 of reading plan"
"Read Hebrews 10:19-39 (Feb 12)","Bible Reading","normal","2026-02-12","Day 350 of reading plan"
"Read Hebrews 11:1-40 (Feb 13)","Bible Reading","normal","2026-02-13","Day 351 of reading plan"
"Read Hebrews 12:1-13 (Feb 14)","Bible Reading","normal","2026-02-14","Day 352 of reading plan"
"Read James 1:2-27 (Feb 15)","Bible Reading","normal","2026-02-15","Day 353 of reading plan"
"Read James 2:1-13 (Feb 16)","Bible Reading","normal","2026-02-16","Day 354 of reading plan"
"Read James 3:1-12 (Feb 17)","Bible Reading","normal","2026-02-17","Day 355 of reading plan"
"Read 1 Peter 2:1-25 (Feb 18)","Bible Reading","normal","2026-02-18","Day 356 of reading plan"
"Read 1 Peter 3:1-22 (Feb 19)","Bible Reading","normal","2026-02-19","Day 357 of reading plan"
"Read 2 Peter 1:2-21 (Feb 20)","Bible Reading","normal","2026-02-20","Day 358 of reading plan"
"Read 1 John 1:1-10 (Feb 21)","Bible Reading","normal","2026-02-21","Day 359 of reading plan"
"Read 1 John 3:1-24 (Feb 22)","Bible Reading","normal","2026-02-22","Day 360 of reading plan"
"Read 1 John 5:1-21 (Feb 23)","Bible Reading","normal","2026-02-23","Day 361 of reading plan"
"Read Jude 1:17-25 (Feb 24)","Bible Reading","normal","2026-02-24","Day 362 of reading plan"
"Read Revelation 1:1-20 (Feb 25)","Bible Reading","normal","2026-02-25","Day 363 of reading plan"
"Read Revelation 21:1-27 (Feb 26)","Bible Reading","normal","2026-02-26","Day 364 of reading plan"
"Read Revelation 22:1-21 (Feb 27)","Bible Reading","normal","2026-02-27","Day 365 of reading plan"
